Файл	C:\Documents and Settings\Center\Рабочий стол\Изгиб_08.11.22\Иост_1.rez
Вид испытания	сжатие	1
Дата	8 Ноябрь 2022 г.	12:49:49
Скорость [мм/мин]	 1.0
Форма	Круглый	0
Начальные размеры: [мм]
Диаметр	Толщина	Ширина	Длина	База
10.00			50.00	40.00
Размеры после испытания: [мм]

Количество точек	2415

Время [с]	Перемещение [мм]	Усилие [Н]
18.60	0.615	1.4900E+0
18.70	0.618	1.4900E+0
18.80	0.621	1.4800E+0
18.90	0.624	1.4800E+0
19.00	0.628	1.5000E+0
19.10	0.631	1.4800E+0
19.20	0.634	1.4900E+0
19.30	0.637	1.4900E+0
19.40	0.641	1.4900E+0
19.50	0.644	1.4900E+0
19.60	0.647	1.4900E+0
19.70	0.651	1.4800E+0
19.80	0.654	1.4900E+0
19.90	0.657	1.4900E+0
20.00	0.660	1.4900E+0
20.10	0.664	1.4800E+0
20.20	0.667	1.4800E+0
20.30	0.670	1.4900E+0
20.40	0.674	1.4900E+0
20.50	0.677	1.4900E+0
20.60	0.680	1.4800E+0
20.70	0.683	1.4900E+0
20.80	0.687	1.4900E+0
20.90	0.690	1.4900E+0
21.00	0.693	1.4900E+0
21.10	0.696	1.4800E+0
21.20	0.699	1.4900E+0
21.30	0.703	1.4900E+0
21.40	0.706	1.4800E+0
21.50	0.709	1.4900E+0
21.60	0.712	1.4900E+0
21.70	0.716	1.4800E+0
21.80	0.719	1.4900E+0
21.90	0.723	1.4900E+0
22.00	0.726	1.4900E+0
22.10	0.729	1.4900E+0
22.20	0.732	1.4800E+0
22.30	0.736	1.5000E+0
22.40	0.739	1.4900E+0
22.50	0.742	1.4900E+0
22.60	0.746	1.4900E+0
22.70	0.749	1.5000E+0
22.80	0.752	1.4900E+0
22.90	0.756	1.4800E+0
23.00	0.759	1.4900E+0
23.10	0.762	1.4900E+0
23.20	0.766	1.4900E+0
23.30	0.769	1.4900E+0
23.40	0.772	1.4900E+0
23.50	0.776	1.4900E+0
23.60	0.779	1.4900E+0
23.70	0.783	1.4900E+0
23.80	0.786	1.4900E+0
23.90	0.789	1.5000E+0
24.00	0.793	1.4900E+0
24.10	0.796	1.4900E+0
24.20	0.800	1.4800E+0
24.30	0.803	1.4900E+0
24.40	0.806	1.4900E+0
24.50	0.810	1.4800E+0
24.60	0.813	1.4800E+0
24.70	0.816	1.4800E+0
24.80	0.820	1.4800E+0
24.90	0.823	1.5000E+0
25.00	0.827	1.4900E+0
25.10	0.830	1.4900E+0
25.20	0.834	1.4900E+0
25.30	0.837	1.4900E+0
25.40	0.840	1.4900E+0
25.50	0.843	1.4800E+0
25.60	0.847	1.5000E+0
25.70	0.850	1.4900E+0
25.80	0.854	1.4900E+0
25.90	0.857	1.4900E+0
26.00	0.860	1.4900E+0
26.10	0.864	1.4900E+0
26.20	0.867	1.4900E+0
26.30	0.871	1.4900E+0
26.40	0.874	1.4900E+0
26.50	0.878	1.4800E+0
26.60	0.881	1.4800E+0
26.70	0.884	1.4900E+0
26.80	0.888	1.4900E+0
26.90	0.891	1.4800E+0
27.00	0.895	1.4900E+0
27.10	0.898	1.4900E+0
27.20	0.901	1.4900E+0
27.30	0.904	1.5000E+0
27.40	0.908	1.4900E+0
27.50	0.911	1.4900E+0
