Файл	C:\Documents and Settings\Center\Рабочий стол\Изгиб_08.11.22\Иост_2.rez
Вид испытания	сжатие	1
Дата	8 Ноябрь 2022 г.	12:55:27
Скорость [мм/мин]	 1.0
Форма	Круглый	0
Начальные размеры: [мм]
Диаметр	Толщина	Ширина	Длина	База
10.00			50.00	40.00
Размеры после испытания: [мм]

Количество точек	2086

Время [с]	Перемещение [мм]	Усилие [Н]
0.00	0.000	1.4800E+0
0.30	0.001	1.4700E+0
0.40	0.003	1.4800E+0
0.50	0.005	1.4800E+0
0.60	0.007	1.4700E+0
0.70	0.009	1.4600E+0
0.80	0.012	1.4700E+0
0.90	0.015	1.4700E+0
1.00	0.019	1.4800E+0
1.10	0.021	1.4800E+0
1.20	0.025	1.4800E+0
1.30	0.028	1.4800E+0
1.40	0.031	1.4900E+0
1.50	0.034	1.4800E+0
1.60	0.037	1.4800E+0
1.70	0.041	1.4800E+0
1.80	0.044	1.4800E+0
1.90	0.047	1.4800E+0
2.00	0.050	1.4700E+0
2.10	0.053	1.4700E+0
2.20	0.057	1.4800E+0
2.30	0.060	1.4800E+0
2.40	0.063	1.4900E+0
2.50	0.066	1.4800E+0
2.60	0.069	1.4800E+0
2.70	0.072	1.4800E+0
2.80	0.076	1.4800E+0
2.90	0.079	1.4800E+0
3.00	0.082	1.4800E+0
3.10	0.085	1.4800E+0
3.20	0.088	1.4800E+0
3.30	0.092	1.4900E+0
3.40	0.095	1.4700E+0
3.50	0.098	1.4800E+0
3.60	0.101	1.4800E+0
3.70	0.104	1.4800E+0
3.80	0.108	1.4800E+0
3.90	0.111	1.4800E+0
4.00	0.114	1.4900E+0
4.10	0.117	1.4700E+0
4.20	0.120	1.4800E+0
4.30	0.124	1.4800E+0
4.40	0.127	1.4800E+0
4.50	0.130	1.4800E+0
4.60	0.133	1.4800E+0
4.70	0.136	1.4800E+0
4.80	0.140	1.4800E+0
4.90	0.143	1.4800E+0
5.00	0.146	1.4800E+0
5.10	0.149	1.4800E+0
5.20	0.153	1.4700E+0
5.30	0.156	1.4800E+0
5.40	0.159	1.4800E+0
5.50	0.162	1.4800E+0
5.60	0.165	1.4800E+0
5.70	0.169	1.4800E+0
5.80	0.172	1.4800E+0
5.90	0.175	1.4800E+0
6.00	0.179	1.4800E+0
6.10	0.182	1.4800E+0
6.20	0.185	1.4700E+0
6.30	0.188	1.4900E+0
6.40	0.191	1.4800E+0
6.50	0.195	1.4700E+0
6.60	0.198	1.4800E+0
6.70	0.201	1.4800E+0
6.80	0.204	1.4800E+0
6.90	0.208	1.4800E+0
7.00	0.211	1.4900E+0
7.10	0.214	1.4700E+0
7.20	0.217	1.4800E+0
7.30	0.220	1.4800E+0
7.40	0.224	1.4800E+0
7.50	0.227	1.4800E+0
7.60	0.230	1.4800E+0
7.70	0.233	1.4900E+0
7.80	0.236	1.4900E+0
7.90	0.240	1.4800E+0
8.00	0.243	1.4700E+0
8.10	0.246	1.4900E+0
8.20	0.249	1.4800E+0
8.30	0.252	1.4900E+0
8.40	0.256	1.4800E+0
8.50	0.259	1.4700E+0
8.60	0.262	1.4800E+0
8.70	0.265	1.4800E+0
8.80	0.269	1.4700E+0
8.90	0.272	1.4800E+0
9.00	0.275	1.4700E+0
9.10	0.278	1.4800E+0
9.20	0.281	1.4800E+0
9.30	0.285	1.4900E+0
9.40	0.288	1.4800E+0
9.50	0.291	1.4800E+0
9.60	0.294	1.4800E+0
9.70	0.297	1.4900E+0
9.80	0.301	1.4700E+0
9.90	0.304	1.4800E+0
10.00	0.307	1.4700E+0
10.10	0.310	1.4800E+0
10.20	0.313	1.4800E+0
