Файл	C:\Documents and Settings\Center\Рабочий стол\Изгиб_08.11.22\Иост_2.rez
10.30	0.317	1.4800E+0
10.40	0.320	1.4800E+0
10.50	0.323	1.4700E+0
10.60	0.326	1.4800E+0
10.70	0.329	1.4900E+0
10.80	0.333	1.4700E+0
10.90	0.336	1.4800E+0
11.00	0.339	1.4700E+0
11.10	0.343	1.4800E+0
11.20	0.346	1.4800E+0
11.30	0.349	1.4800E+0
11.40	0.352	1.4900E+0
11.50	0.356	1.4800E+0
11.60	0.359	1.4800E+0
11.70	0.362	1.4800E+0
11.80	0.365	1.4800E+0
11.90	0.369	1.4900E+0
12.00	0.372	1.4800E+0
12.10	0.376	1.4800E+0
12.20	0.379	1.4800E+0
12.30	0.382	1.4800E+0
12.40	0.385	1.4800E+0
12.50	0.389	1.4700E+0
12.60	0.392	1.4800E+0
12.70	0.395	1.4800E+0
12.80	0.399	1.4800E+0
12.90	0.401	1.4700E+0
13.00	0.405	1.4800E+0
13.10	0.408	1.4800E+0
13.20	0.412	1.4800E+0
13.30	0.415	1.4700E+0
13.40	0.418	1.4700E+0
13.50	0.421	1.4800E+0
13.60	0.425	1.4700E+0
13.70	0.428	1.4700E+0
13.80	0.431	1.4800E+0
13.90	0.435	1.4800E+0
14.00	0.438	1.4800E+0
14.10	0.441	1.4900E+0
14.20	0.444	1.4800E+0
14.30	0.448	1.4700E+0
14.40	0.451	1.4700E+0
14.50	0.454	1.4800E+0
14.60	0.457	1.4800E+0
14.70	0.461	1.4800E+0
14.80	0.464	1.4800E+0
14.90	0.468	1.4800E+0
15.00	0.471	1.4800E+0
15.10	0.474	1.4700E+0
15.20	0.477	1.4700E+0
15.30	0.481	1.4700E+0
15.40	0.484	1.4800E+0
15.50	0.487	1.4800E+0
15.60	0.490	1.4800E+0
15.70	0.493	1.4800E+0
15.80	0.497	1.4800E+0
15.90	0.500	1.4900E+0
16.00	0.503	1.4800E+0
16.10	0.507	1.4800E+0
16.20	0.509	1.4800E+0
16.30	0.513	1.4700E+0
16.40	0.516	1.4800E+0
16.50	0.519	1.4700E+0
16.60	0.523	1.4700E+0
16.70	0.526	1.4800E+0
16.80	0.529	1.4800E+0
16.90	0.533	1.4800E+0
17.00	0.536	1.4800E+0
17.10	0.539	1.4800E+0
17.20	0.542	1.4700E+0
17.30	0.545	1.4800E+0
17.40	0.549	1.4800E+0
17.50	0.552	1.4700E+0
17.60	0.555	1.4800E+0
17.70	0.559	1.4800E+0
17.80	0.562	1.4900E+0
17.90	0.565	1.4700E+0
18.00	0.568	1.4800E+0
18.10	0.572	1.4800E+0
18.20	0.575	1.4800E+0
18.30	0.578	1.4800E+0
18.40	0.581	1.4800E+0
18.50	0.584	1.4800E+0
18.60	0.588	1.4800E+0
18.70	0.591	1.4800E+0
18.80	0.594	1.4700E+0
18.90	0.597	1.4800E+0
19.00	0.600	1.4800E+0
19.10	0.603	1.4800E+0
19.20	0.607	1.4800E+0
19.30	0.609	1.4800E+0
19.40	0.613	1.4700E+0
19.50	0.616	1.4600E+0
19.60	0.619	1.4700E+0
19.70	0.623	1.4900E+0
19.80	0.626	1.4800E+0
19.90	0.629	1.4900E+0
20.00	0.632	1.4800E+0
20.10	0.636	1.4800E+0
20.20	0.639	1.4800E+0
20.30	0.642	1.4800E+0
20.40	0.645	1.4800E+0
20.50	0.648	1.4800E+0
20.60	0.651	1.4800E+0
20.70	0.655	1.4800E+0
20.80	0.657	1.4800E+0
20.90	0.661	1.4800E+0
21.00	0.664	1.4800E+0
21.10	0.667	1.4800E+0
21.20	0.670	1.4800E+0
21.30	0.673	1.4900E+0
21.40	0.677	1.4800E+0
21.50	0.680	1.4800E+0
21.60	0.683	1.4800E+0
21.70	0.686	1.4800E+0
21.80	0.689	1.4800E+0
21.90	0.693	1.4800E+0
22.00	0.696	1.4700E+0
22.10	0.699	1.4700E+0
22.20	0.702	1.4800E+0
22.30	0.705	1.4800E+0
22.40	0.709	1.4800E+0
22.50	0.712	1.4900E+0
22.60	0.715	1.4800E+0
22.70	0.718	1.4800E+0
22.80	0.721	1.4700E+0
22.90	0.725	1.4700E+0
23.00	0.728	1.4700E+0
23.10	0.731	1.4800E+0
23.20	0.734	1.4800E+0
23.30	0.737	1.4800E+0
23.40	0.741	1.4800E+0
23.50	0.744	1.4800E+0
23.60	0.747	1.4800E+0
23.70	0.750	1.4800E+0
23.80	0.753	1.4800E+0
23.90	0.756	1.4800E+0
24.00	0.760	1.4800E+0
24.10	0.763	1.4700E+0
24.20	0.766	1.4700E+0
24.30	0.769	1.4800E+0
24.40	0.772	1.4800E+0
24.50	0.776	1.4800E+0
24.60	0.779	1.4800E+0
24.70	0.782	1.4800E+0
24.80	0.785	1.4700E+0
24.90	0.788	1.4800E+0
25.00	0.792	1.4800E+0
25.10	0.795	1.4800E+0
25.20	0.798	1.4800E+0
25.30	0.801	1.4800E+0
25.40	0.804	1.4900E+0
25.50	0.808	1.4800E+0
25.60	0.811	1.4800E+0
25.70	0.814	1.4800E+0
25.80	0.817	1.4800E+0
25.90	0.821	1.4800E+0
26.00	0.824	1.4800E+0
26.10	0.827	1.4800E+0
26.20	0.830	1.4800E+0
26.30	0.833	1.4900E+0
26.40	0.837	1.4800E+0
26.50	0.840	1.4800E+0
26.60	0.843	1.4700E+0
26.70	0.846	1.4700E+0
26.80	0.849	1.4800E+0
26.90	0.852	1.4800E+0
27.00	0.856	1.4800E+0
27.10	0.859	1.4800E+0
27.20	0.862	1.4800E+0
27.30	0.865	1.4800E+0
27.40	0.868	1.4900E+0
27.50	0.872	1.4700E+0
27.60	0.875	1.4700E+0
27.70	0.878	1.4800E+0
27.80	0.881	1.4800E+0
27.90	0.884	1.4800E+0
28.00	0.888	1.4800E+0
28.10	0.891	1.4800E+0
28.20	0.894	1.4800E+0
28.30	0.897	1.4800E+0
28.40	0.901	1.4700E+0
28.50	0.904	1.4700E+0
28.60	0.907	1.4800E+0
28.70	0.910	1.4800E+0
28.80	0.913	1.4900E+0
28.90	0.916	1.4800E+0
29.00	0.920	1.4800E+0
29.10	0.923	1.4800E+0
29.20	0.926	1.4800E+0
29.30	0.929	1.4700E+0
29.40	0.932	1.4800E+0
29.50	0.935	1.4800E+0
29.60	0.939	1.4800E+0
29.70	0.942	1.4800E+0
29.80	0.945	1.4800E+0
29.90	0.948	1.4700E+0
30.00	0.951	1.4700E+0
30.10	0.955	1.4700E+0
30.20	0.957	1.4800E+0
30.30	0.961	1.4800E+0
30.40	0.964	1.4700E+0
30.50	0.967	1.4700E+0
30.60	0.971	1.4700E+0
30.70	0.973	1.4800E+0
30.80	0.977	1.4800E+0
30.90	0.980	1.4700E+0
31.00	0.983	1.4800E+0
31.10	0.987	1.4900E+0
31.20	0.989	1.4800E+0
31.30	0.993	1.4700E+0
31.40	0.996	1.4800E+0
31.50	0.999	1.4600E+0
31.60	1.003	1.4800E+0
31.70	1.006	1.4800E+0
31.80	1.009	1.4800E+0
31.90	1.012	1.4800E+0
32.00	1.015	1.4700E+0
32.10	1.019	1.4800E+0
32.20	1.021	1.4800E+0
32.30	1.025	1.4700E+0
32.40	1.028	1.4700E+0
32.50	1.031	1.4800E+0
32.60	1.035	1.4700E+0
32.70	1.037	1.4700E+0
32.80	1.041	1.4700E+0
32.90	1.044	1.4700E+0
33.00	1.047	1.4800E+0
33.10	1.051	1.4800E+0
33.20	1.054	1.4800E+0
33.30	1.057	1.4800E+0
33.40	1.060	1.4800E+0
33.50	1.063	1.4900E+0
33.60	1.067	1.4800E+0
33.70	1.070	1.4800E+0
33.80	1.073	1.4800E+0
33.90	1.076	1.4800E+0
34.00	1.080	1.4800E+0
34.10	1.083	1.4800E+0
34.20	1.086	1.4800E+0
34.30	1.089	1.4800E+0
34.40	1.092	1.4800E+0
34.50	1.096	1.4800E+0
34.60	1.099	1.4800E+0
34.70	1.102	1.4800E+0
34.80	1.105	1.4800E+0
34.90	1.109	1.4800E+0
35.00	1.112	1.4800E+0
35.10	1.115	1.4700E+0
35.20	1.118	1.4800E+0
35.30	1.121	1.4800E+0
35.40	1.125	1.4900E+0
35.50	1.128	1.4900E+0
35.60	1.131	1.4800E+0
35.70	1.135	1.4800E+0
35.80	1.137	1.4700E+0
35.90	1.141	1.4800E+0
36.00	1.144	1.4900E+0
36.10	1.147	1.4900E+0
36.20	1.151	1.4800E+0
36.30	1.154	1.4900E+0
36.40	1.157	1.4800E+0
36.50	1.161	1.4800E+0
36.60	1.164	1.4900E+0
36.70	1.167	1.4800E+0
36.80	1.171	1.4900E+0
36.90	1.174	1.4800E+0
37.00	1.177	1.4800E+0
37.10	1.180	1.4800E+0
37.20	1.184	1.4800E+0
37.30	1.187	1.4800E+0
37.40	1.190	1.4800E+0
37.50	1.193	1.4900E+0
37.60	1.197	1.4900E+0
37.70	1.200	1.4800E+0
37.80	1.203	1.4900E+0
37.90	1.207	1.4900E+0
38.00	1.210	1.4800E+0
38.10	1.213	1.4800E+0
38.20	1.217	1.4800E+0
38.30	1.220	1.4900E+0
38.40	1.223	1.4800E+0
38.50	1.227	1.4900E+0
38.60	1.230	1.4900E+0
38.70	1.233	1.5000E+0
38.80	1.236	1.4900E+0
38.90	1.240	1.4900E+0
39.00	1.243	1.4900E+0
39.10	1.246	1.4900E+0
39.20	1.249	1.4800E+0
39.30	1.253	1.4900E+0
39.40	1.256	1.4900E+0
39.50	1.260	1.4900E+0
39.60	1.263	1.4900E+0
39.70	1.266	1.4900E+0
39.80	1.269	1.5000E+0
39.90	1.273	1.4800E+0
40.00	1.276	1.5000E+0
40.10	1.280	1.4900E+0
40.20	1.283	1.4900E+0
40.30	1.286	1.4900E+0
40.40	1.289	1.4900E+0
40.50	1.292	1.4900E+0
40.60	1.296	1.4900E+0
40.70	1.299	1.5000E+0
40.80	1.302	1.4900E+0
40.90	1.305	1.4900E+0
41.00	1.309	1.4900E+0
41.10	1.312	1.4900E+0
41.20	1.315	1.4900E+0
41.30	1.319	1.4900E+0
41.40	1.322	1.5000E+0
41.50	1.325	1.4900E+0
41.60	1.329	1.4900E+0
41.70	1.332	1.4900E+0
41.80	1.335	1.5100E+0
41.90	1.339	1.4900E+0
42.00	1.342	1.5000E+0
42.10	1.345	1.4900E+0
42.20	1.349	1.5000E+0
42.30	1.352	1.5000E+0
42.40	1.355	1.5000E+0
42.50	1.359	1.5000E+0
42.60	1.362	1.5000E+0
42.70	1.365	1.5000E+0
42.80	1.369	1.5000E+0
42.90	1.372	1.5000E+0
43.00	1.375	1.5100E+0
43.10	1.379	1.5000E+0
43.20	1.382	1.5000E+0
43.30	1.385	1.5100E+0
43.40	1.389	1.5000E+0
43.50	1.392	1.5000E+0
43.60	1.395	1.5100E+0
43.70	1.399	1.5000E+0
43.80	1.402	1.5000E+0
43.90	1.405	1.5100E+0
44.00	1.409	1.5000E+0
44.10	1.412	1.5100E+0
44.20	1.415	1.5100E+0
44.30	1.419	1.5100E+0
44.40	1.422	1.5000E+0
44.50	1.425	1.5100E+0
44.60	1.429	1.5100E+0
44.70	1.432	1.5100E+0
44.80	1.435	1.5100E+0
44.90	1.439	1.5200E+0
45.00	1.442	1.5100E+0
45.10	1.445	1.5100E+0
45.20	1.448	1.5200E+0
45.30	1.452	1.5200E+0
45.40	1.455	1.5100E+0
45.50	1.458	1.5100E+0
45.60	1.461	1.5200E+0
45.70	1.465	1.5200E+0
45.80	1.468	1.5100E+0
45.90	1.471	1.5200E+0
46.00	1.475	1.5200E+0
46.10	1.478	1.5100E+0
46.20	1.481	1.5100E+0
46.30	1.484	1.5200E+0
46.40	1.488	1.5200E+0
46.50	1.491	1.5300E+0
46.60	1.494	1.5200E+0
46.70	1.497	1.5100E+0
46.80	1.501	1.5200E+0
46.90	1.504	1.5200E+0
47.00	1.507	1.5200E+0
47.10	1.510	1.5200E+0
47.20	1.513	1.5200E+0
47.30	1.517	1.5200E+0
47.40	1.520	1.5300E+0
47.50	1.523	1.5300E+0
47.60	1.526	1.5200E+0
47.70	1.529	1.5200E+0
47.80	1.533	1.5300E+0
47.90	1.536	1.5300E+0
48.00	1.539	1.5200E+0
48.10	1.543	1.5300E+0
48.20	1.546	1.5300E+0
48.30	1.549	1.5300E+0
48.40	1.552	1.5300E+0
48.50	1.555	1.5300E+0
48.60	1.559	1.5300E+0
48.70	1.562	1.5300E+0
48.80	1.565	1.5300E+0
48.90	1.568	1.5300E+0
49.00	1.572	1.5400E+0
49.10	1.575	1.5300E+0
49.20	1.578	1.5300E+0
49.30	1.581	1.5300E+0
49.40	1.584	1.5300E+0
49.50	1.588	1.5400E+0
49.60	1.591	1.5300E+0
49.70	1.594	1.5400E+0
49.80	1.597	1.5300E+0
49.90	1.601	1.5400E+0
50.00	1.604	1.5400E+0
50.10	1.607	1.5300E+0
50.20	1.611	1.5400E+0
50.30	1.614	1.5300E+0
50.40	1.617	1.5400E+0
50.50	1.620	1.5400E+0
50.60	1.624	1.5300E+0
50.70	1.627	1.5400E+0
50.80	1.630	1.5400E+0
50.90	1.633	1.5500E+0
51.00	1.636	1.5400E+0
51.10	1.640	1.5500E+0
51.20	1.643	1.5400E+0
51.30	1.646	1.5400E+0
51.40	1.649	1.5500E+0
51.50	1.652	1.5500E+0
51.60	1.656	1.5400E+0
51.70	1.659	1.5400E+0
51.80	1.662	1.5500E+0
51.90	1.665	1.5500E+0
52.00	1.669	1.5400E+0
52.10	1.672	1.5400E+0
52.20	1.675	1.5400E+0
52.30	1.678	1.5500E+0
52.40	1.681	1.5500E+0
52.50	1.685	1.5500E+0
52.60	1.688	1.5500E+0
52.70	1.691	1.5500E+0
52.80	1.695	1.5400E+0
52.90	1.698	1.5500E+0
53.00	1.701	1.5500E+0
53.10	1.704	1.5500E+0
53.20	1.708	1.5500E+0
53.30	1.711	1.5500E+0
53.40	1.714	1.5500E+0
53.50	1.717	1.5600E+0
53.60	1.720	1.5500E+0
53.70	1.724	1.5600E+0
53.80	1.727	1.5600E+0
53.90	1.730	1.5600E+0
54.00	1.733	1.5600E+0
54.10	1.737	1.5700E+0
54.20	1.740	1.5600E+0
54.30	1.743	1.5500E+0
54.40	1.746	1.5600E+0
54.50	1.750	1.5600E+0
54.60	1.753	1.5600E+0
54.70	1.756	1.5600E+0
54.80	1.759	1.5600E+0
54.90	1.763	1.5600E+0
55.00	1.766	1.5700E+0
55.10	1.769	1.5700E+0
55.20	1.772	1.5700E+0
55.30	1.776	1.5600E+0
55.40	1.779	1.5700E+0
55.50	1.782	1.5700E+0
55.60	1.786	1.5700E+0
55.70	1.789	1.5700E+0
55.80	1.792	1.5700E+0
55.90	1.796	1.5700E+0
56.00	1.799	1.5700E+0
56.10	1.802	1.5700E+0
56.20	1.809	1.5700E+0
56.30	1.812	1.5700E+0
56.40	1.815	1.5600E+0
56.50	1.818	1.5700E+0
56.60	1.821	1.5700E+0
56.70	1.825	1.5700E+0
56.80	1.828	1.5700E+0
56.90	1.831	1.5700E+0
57.00	1.835	1.5700E+0
57.10	1.838	1.5600E+0
57.20	1.841	1.5700E+0
57.30	1.844	1.5700E+0
57.40	1.847	1.5700E+0
57.50	1.851	1.5700E+0
57.60	1.854	1.5800E+0
57.70	1.857	1.5800E+0
57.80	1.860	1.5700E+0
57.90	1.864	1.5800E+0
58.00	1.867	1.5700E+0
58.10	1.870	1.5700E+0
58.20	1.873	1.5700E+0
58.30	1.877	1.5700E+0
58.40	1.880	1.5700E+0
58.50	1.883	1.5700E+0
58.60	1.886	1.5700E+0
58.70	1.889	1.5700E+0
58.80	1.893	1.5700E+0
58.90	1.896	1.5700E+0
59.00	1.900	1.5700E+0
59.10	1.903	1.5600E+0
59.20	1.906	1.5800E+0
59.30	1.909	1.5700E+0
59.40	1.913	1.5700E+0
59.50	1.916	1.5700E+0
59.60	1.919	1.5700E+0
59.70	1.922	1.5800E+0
59.80	1.925	1.5700E+0
59.90	1.929	1.5700E+0
60.00	1.932	1.5800E+0
60.10	1.936	1.5800E+0
60.20	1.939	1.5800E+0
60.30	1.942	1.5800E+0
60.40	1.945	1.5900E+0
60.50	1.949	1.5800E+0
60.60	1.952	1.5800E+0
60.70	1.956	1.5700E+0
60.80	1.959	1.5700E+0
60.90	1.962	1.5800E+0
61.00	1.966	1.5800E+0
61.10	1.969	1.5800E+0
61.20	1.973	1.5800E+0
61.30	1.976	1.5700E+0
61.40	1.979	1.5700E+0
61.50	1.983	1.5800E+0
61.60	1.986	1.5800E+0
61.70	1.989	1.5800E+0
61.80	1.993	1.5800E+0
61.90	1.996	1.5700E+0
62.00	2.000	1.5800E+0
62.10	2.003	1.5800E+0
62.20	2.006	1.5700E+0
62.30	2.010	1.5800E+0
62.40	2.013	1.5800E+0
62.50	2.016	1.5800E+0
62.60	2.020	1.5800E+0
62.70	2.023	1.5800E+0
62.80	2.027	1.5800E+0
62.90	2.030	1.5700E+0
63.00	2.033	1.5800E+0
63.10	2.037	1.5800E+0
63.20	2.040	1.5800E+0
63.30	2.043	1.5800E+0
63.40	2.047	1.5700E+0
63.50	2.050	1.5800E+0
63.60	2.053	1.5800E+0
63.70	2.057	1.5900E+0
63.80	2.060	1.5800E+0
63.90	2.064	1.5800E+0
64.00	2.067	1.5800E+0
64.10	2.070	1.5800E+0
64.20	2.074	1.5800E+0
64.30	2.077	1.5800E+0
64.40	2.080	1.5800E+0
64.50	2.084	1.5800E+0
64.60	2.087	1.5800E+0
64.70	2.091	1.5800E+0
64.80	2.094	1.5800E+0
64.90	2.097	1.5800E+0
65.00	2.100	1.5800E+0
65.10	2.104	1.5800E+0
65.20	2.107	1.5700E+0
65.30	2.111	1.5700E+0
65.40	2.114	1.5800E+0
65.50	2.117	1.5700E+0
65.60	2.121	1.5800E+0
65.70	2.124	1.5700E+0
65.80	2.127	1.5700E+0
65.90	2.131	1.5800E+0
66.00	2.134	1.5800E+0
66.10	2.137	1.5800E+0
66.20	2.141	1.5800E+0
66.30	2.144	1.5800E+0
66.40	2.148	1.5800E+0
66.50	2.151	1.5700E+0
66.60	2.154	1.5700E+0
66.70	2.158	1.5800E+0
66.80	2.161	1.5700E+0
66.90	2.164	1.5700E+0
67.00	2.168	1.5900E+0
67.10	2.171	1.5800E+0
67.20	2.175	1.5800E+0
67.30	2.178	1.5800E+0
67.40	2.181	1.5700E+0
67.50	2.184	1.5800E+0
67.60	2.188	1.5800E+0
67.70	2.191	1.5700E+0
67.80	2.194	1.5700E+0
67.90	2.197	1.5700E+0
68.00	2.201	1.5700E+0
68.10	2.204	1.5800E+0
68.20	2.207	1.5800E+0
68.30	2.211	1.5700E+0
68.40	2.214	1.5700E+0
68.50	2.217	1.5800E+0
68.60	2.220	1.5900E+0
68.70	2.224	1.5800E+0
68.80	2.227	1.5800E+0
68.90	2.230	1.5700E+0
69.00	2.233	1.5700E+0
69.10	2.237	1.5700E+0
69.20	2.240	1.5700E+0
69.30	2.243	1.5800E+0
69.40	2.247	1.5800E+0
69.50	2.250	1.5900E+0
69.60	2.253	1.5800E+0
69.70	2.256	1.5900E+0
69.80	2.260	1.5800E+0
69.90	2.263	1.5800E+0
70.00	2.266	1.5700E+0
70.10	2.270	1.5800E+0
70.20	2.273	1.5800E+0
70.30	2.276	1.5800E+0
70.40	2.279	1.5900E+0
70.50	2.283	1.5800E+0
70.60	2.286	1.5800E+0
70.70	2.289	1.5800E+0
70.80	2.292	1.5800E+0
70.90	2.296	1.5800E+0
71.00	2.299	1.5900E+0
71.10	2.302	1.5800E+0
71.20	2.305	1.5900E+0
71.30	2.309	1.5900E+0
71.40	2.312	1.5900E+0
71.50	2.315	1.6000E+0
71.60	2.319	1.6000E+0
71.70	2.322	1.5900E+0
71.80	2.325	1.6000E+0
71.90	2.328	1.6000E+0
72.00	2.331	1.6000E+0
72.10	2.335	1.6000E+0
72.20	2.338	1.6000E+0
72.30	2.341	1.6000E+0
72.40	2.344	1.6100E+0
72.50	2.348	1.6100E+0
72.60	2.351	1.6100E+0
72.70	2.354	1.6100E+0
72.80	2.357	1.6000E+0
72.90	2.361	1.6100E+0
73.00	2.364	1.6100E+0
73.10	2.367	1.6100E+0
73.20	2.370	1.6000E+0
73.30	2.373	1.6100E+0
73.40	2.377	1.6100E+0
73.50	2.380	1.6100E+0
73.60	2.383	1.6100E+0
73.70	2.386	1.6100E+0
73.80	2.389	1.6200E+0
73.90	2.393	1.6200E+0
74.00	2.396	1.6200E+0
74.10	2.399	1.6200E+0
74.20	2.402	1.6200E+0
74.30	2.405	1.6200E+0
74.40	2.408	1.6200E+0
74.50	2.412	1.6200E+0
74.60	2.415	1.6100E+0
74.70	2.418	1.6100E+0
74.80	2.421	1.6200E+0
74.90	2.425	1.6300E+0
75.00	2.428	1.6300E+0
75.10	2.431	1.6200E+0
75.20	2.434	1.6200E+0
75.30	2.437	1.6300E+0
75.40	2.441	1.6300E+0
75.50	2.444	1.6300E+0
75.60	2.447	1.6400E+0
75.70	2.450	1.6400E+0
75.80	2.453	1.6400E+0
75.90	2.457	1.6400E+0
76.00	2.460	1.6400E+0
76.10	2.463	1.6400E+0
76.20	2.466	1.6400E+0
76.30	2.470	1.6500E+0
76.40	2.473	1.6400E+0
76.50	2.476	1.6400E+0
76.60	2.479	1.6400E+0
76.70	2.483	1.6500E+0
76.80	2.486	1.6500E+0
76.90	2.489	1.6500E+0
77.00	2.492	1.6500E+0
77.10	2.496	1.6500E+0
77.20	2.499	1.6500E+0
77.30	2.502	1.6500E+0
77.40	2.505	1.6600E+0
77.50	2.509	1.6400E+0
77.60	2.512	1.6500E+0
77.70	2.515	1.6600E+0
77.80	2.519	1.6600E+0
77.90	2.522	1.6600E+0
78.00	2.525	1.6600E+0
78.10	2.528	1.6600E+0
78.20	2.532	1.6700E+0
78.30	2.535	1.6600E+0
78.40	2.538	1.6500E+0
78.50	2.541	1.6600E+0
78.60	2.545	1.6700E+0
78.70	2.548	1.6700E+0
78.80	2.551	1.6600E+0
78.90	2.555	1.6600E+0
79.00	2.558	1.6700E+0
79.10	2.561	1.6700E+0
79.20	2.564	1.6700E+0
79.30	2.568	1.6600E+0
79.40	2.571	1.6700E+0
79.50	2.574	1.6700E+0
79.60	2.577	1.6800E+0
79.70	2.580	1.6700E+0
79.80	2.584	1.6800E+0
79.90	2.587	1.6900E+0
80.00	2.590	1.6800E+0
80.10	2.593	1.6800E+0
80.20	2.596	1.6800E+0
80.30	2.600	1.6800E+0
80.40	2.603	1.6800E+0
80.50	2.606	1.6900E+0
80.60	2.609	1.6800E+0
80.70	2.613	1.6800E+0
80.80	2.616	1.6800E+0
80.90	2.620	1.6800E+0
81.00	2.623	1.6900E+0
81.10	2.626	1.6900E+0
81.20	2.629	1.6900E+0
81.30	2.632	1.6900E+0
81.40	2.636	1.7000E+0
81.50	2.639	1.6900E+0
81.60	2.642	1.6900E+0
81.70	2.645	1.7000E+0
81.80	2.649	1.7000E+0
81.90	2.652	1.7100E+0
82.00	2.655	1.7000E+0
82.10	2.658	1.7000E+0
82.20	2.661	1.7000E+0
82.30	2.665	1.7000E+0
82.40	2.668	1.7000E+0
82.50	2.672	1.7000E+0
82.60	2.675	1.7000E+0
82.70	2.678	1.7100E+0
82.80	2.681	1.7100E+0
82.90	2.685	1.7100E+0
83.00	2.688	1.7100E+0
83.10	2.691	1.7100E+0
83.20	2.694	1.7100E+0
83.30	2.697	1.7200E+0
83.40	2.701	1.7100E+0
83.50	2.704	1.7200E+0
83.60	2.708	1.7300E+0
83.70	2.711	1.7200E+0
83.80	2.714	1.7200E+0
83.90	2.717	1.7200E+0
84.00	2.721	1.7200E+0
84.10	2.724	1.7200E+0
84.20	2.727	1.7100E+0
84.30	2.731	1.7200E+0
84.40	2.734	1.7200E+0
84.50	2.737	1.7200E+0
84.60	2.740	1.7200E+0
84.70	2.744	1.7200E+0
84.80	2.747	1.7300E+0
84.90	2.751	1.7300E+0
85.00	2.754	1.7300E+0
85.10	2.757	1.7300E+0
85.20	2.760	1.7300E+0
85.30	2.764	1.7300E+0
85.40	2.767	1.7300E+0
85.50	2.770	1.7300E+0
85.60	2.773	1.7200E+0
85.70	2.777	1.7300E+0
85.80	2.780	1.7300E+0
85.90	2.784	1.7300E+0
